item,label_ja,label_en,altLabel_ja,altLabel_en,instance of
http://www.wikidata.org/entity/Q18378679,,Small nucleolar RNA SNORA5,[],[],[]
http://www.wikidata.org/entity/Q18378718,スマート無機高分子,smart inorganic polymer,['スマート無機ポリマー'],[],[]
http://www.wikidata.org/entity/Q18379132,,Nanchung,[],[],['Q67101749']
http://www.wikidata.org/entity/Q18385894,,Pacifastin,[],[],[]
http://www.wikidata.org/entity/Q18386434,,Cangitoxin,[],[],[]
http://www.wikidata.org/entity/Q18388934,,platelet-rich fibrin,[],[],[]
http://www.wikidata.org/entity/Q18390403,,DP1 family,[],['YOP1'],['Q417841']
http://www.wikidata.org/entity/Q18391883,,neuropeptide receptors,[],"['neuropeptide receptor', 'Receptors, Neuropeptide']",['Q84467700']
http://www.wikidata.org/entity/Q18417540,,C-FLIP,[],[],['Q8054']
http://www.wikidata.org/entity/Q18480216,アンジオテンシン (1-7),angiotensin 1-7,[],"['ang 1-7', 'Angiotensin (1-7)', 'AGT(34-40)', 'angiotensin(34-40)', 'TXA127', 'TXA-127']","['Q172847', 'Q113145171']"
http://www.wikidata.org/entity/Q18481413,,,[],[],[]
http://www.wikidata.org/entity/Q184817,リグニン,lignin,[],[],"['Q56256178', 'Q47154513']"
http://www.wikidata.org/entity/Q1850079,,polyethylene terephthalate glycol,[],"['PET-G', 'polyethylene terephthalate glycol-modified', 'PETG']",['Q79529']
http://www.wikidata.org/entity/Q1851162,,interferon beta-1b,[],"['IFN beta 1b', 'Betaseron', 'Interferon beta precursor', 'IFN-beta', 'Fibroblast interferon']",['Q113145171']
http://www.wikidata.org/entity/Q185269,アクチン,actin,['アクチンフィラメント'],"['actins', 'Actin family', 'Actin', 'IPR004000']",['Q417841']
http://www.wikidata.org/entity/Q185390,抗核抗体,anti-nuclear antibody,[],"['ANA', 'anti-nuclear factor', 'ANF', 'antinuclear antibody', 'antinuclear factor', 'Antibodies, Antinuclear']",['Q84467700']
http://www.wikidata.org/entity/Q1857559,モダクリル,modacrylic,[],[],[]
http://www.wikidata.org/entity/Q1869477,長い末端反復,long terminal repeat,[],['LTR'],[]
http://www.wikidata.org/entity/Q187126,糖タンパク質,glycoprotein,"['糖たんぱく質', '糖タンパク', '糖蛋白質', '糖蛋白']",['glycoproteins'],['Q47154513']
http://www.wikidata.org/entity/Q187637,細胞接着分子,cell adhesion molecule,[],"['cell adhesion molecules', 'CAM']",['Q84467700']
http://www.wikidata.org/entity/Q1879801,,Zulkowsky starch,[],[],[]
http://www.wikidata.org/entity/Q1881493,,MIL-53,[],[],['Q113145171']
http://www.wikidata.org/entity/Q188154,ペクチン,pectin,[],['pectins'],['Q47154513']
http://www.wikidata.org/entity/Q1881795,キャッピング酵素,Capping enzyme,[],[],['Q67015883']
http://www.wikidata.org/entity/Q188245,ポリエステル,polyester,[],"['PE', 'polyesters']","['Q47154513', 'Q214609']"
http://www.wikidata.org/entity/Q188251,グルテン,gluten,[],"['gluten protein', 'glutens', 'dietary gluten']","['Q84467700', 'Q131790']"
http://www.wikidata.org/entity/Q188269,インターフェロン,interferon,['IFN'],"['IFN', 'interferons']",['Q84467700']
http://www.wikidata.org/entity/Q1886097,,major facilitator superfamily,[],"['MFS', 'IPR011701']","['Q417841', 'Q68461428']"
http://www.wikidata.org/entity/Q188928,メッセンジャーRNA,messenger RNA,"['mRNA', '伝令RNA', '伝令リボ核酸']","['mRNA', 'RNA, messenger']",[]
http://www.wikidata.org/entity/Q189051,,Zellkautschuk,[],[],['Q206615']
http://www.wikidata.org/entity/Q18915610,,,[],[],[]
http://www.wikidata.org/entity/Q189474,ケラチン,keratins,"['ケラチンフィラメント', 'サイトケラチン']",['keratin'],['Q84467700']
http://www.wikidata.org/entity/Q18968232,,"erythrocyte membrane protein 1, PfEMP1",[],"['VAR3', 'PFA0015c', 'VAR-UPSA3', 'MAL1P4.03']",['Q8054']
http://www.wikidata.org/entity/Q18968351,,protein CINCH,[],"['MAL4P2.14', 'PFD0385w', 'coordinator of nascent cell detachment']",['Q8054']
http://www.wikidata.org/entity/Q18968896,,"cytochrome c oxidase subunit 6B, putative",[],['PFI1375w'],['Q8054']
http://www.wikidata.org/entity/Q18969269,,"Plasmodium exported protein (PHISTa-like), unknown function",[],['MAL7P1.225'],"['Q8054', 'Q66826848']"
http://www.wikidata.org/entity/Q18969297,,"gamma-tubulin complex component, putative",[],['PFI1620c'],['Q8054']
http://www.wikidata.org/entity/Q18969408,,"Plasmodium exported protein, unknown function",[],['MAL7P1.170'],['Q8054']
http://www.wikidata.org/entity/Q18969519,,"conserved Plasmodium protein, unknown function",[],['PF11_0291'],['Q8054']
http://www.wikidata.org/entity/Q18969618,,"conserved protein, unknown function",[],['PFI0175w'],['Q8054']
http://www.wikidata.org/entity/Q18969732,,"conserved protein, unknown function",[],['PF10_0358'],['Q8054']
http://www.wikidata.org/entity/Q18969789,,"transformer-2 protein homolog beta, putative",[],['PF10_0028'],['Q8054']
http://www.wikidata.org/entity/Q18970027,,PQ-loop repeat-containing protein,[],[],['Q8054']
http://www.wikidata.org/entity/Q18970229,,"conserved Plasmodium protein, unknown function",[],['PFI0560c'],['Q8054']
http://www.wikidata.org/entity/Q18970321,,"conserved Plasmodium protein, unknown function",[],['MAL8P1.106'],['Q8054']
http://www.wikidata.org/entity/Q18970352,,"AAA family ATPase, putative",[],['PF11_0405'],['Q8054']
http://www.wikidata.org/entity/Q18970360,,"DNA2/NAM7 helicase, putative",[],"['2296.t00402', 'PF10_0099']",['Q8054']
http://www.wikidata.org/entity/Q18970371,,"DNA-directed RNA polymerase III subunit RPC8, putative",[],['PF11_0058'],['Q8054']
http://www.wikidata.org/entity/Q18970437,,"BET1-like protein, putative",[],['PF10_0109'],['Q8054']
http://www.wikidata.org/entity/Q18970710,,"prohibitin 2, putative",[],['PF10_0144'],['Q8054']
http://www.wikidata.org/entity/Q18970746,,cysteine--tRNA ligase,[],['PF10_0149'],['Q8054']
http://www.wikidata.org/entity/Q18970793,,"tubulin binding cofactor c, putative",[],[],['Q8054']
http://www.wikidata.org/entity/Q18970938,,"ubiquitin-conjugating enzyme E2, putative",[],[],['Q8054']
http://www.wikidata.org/entity/Q18971032,,"Plasmodium exported protein, unknown function",[],['PF11_0508'],['Q8054']
http://www.wikidata.org/entity/Q18971065,,rhomboid protease ROM1,[],"['PF11_0150', 'PF11_0149']",['Q8054']
http://www.wikidata.org/entity/Q18971593,,"conserved Plasmodium protein, unknown function",[],[],"['Q8054', 'Q66826848']"
http://www.wikidata.org/entity/Q18971655,,"conserved Plasmodium membrane protein, unknown function",[],"['PF14_0109', 'PF14_0778']",['Q8054']
http://www.wikidata.org/entity/Q18972068,,rhoptry neck protein 2,[],['PF14_0495'],['Q8054']
http://www.wikidata.org/entity/Q18972241,,metacaspase-1,[],"['PF13_0289', 'MC1']",['Q8054']
http://www.wikidata.org/entity/Q18972306,,"cGMP-specific 3',5'-cyclic phosphodiesterase alpha",[],"['PDE1', 'PDE', 'PFL0475w', 'MAL12P1.95', '2277.t00096']",['Q8054']
http://www.wikidata.org/entity/Q18972329,,methyltransferase AAMT,[],['PF14_0526'],['Q8054']
http://www.wikidata.org/entity/Q18972343,,glutathione reductase,[],['PF14_0192'],"['Q8054', 'Q66826848']"
http://www.wikidata.org/entity/Q18972580,,"SND2 domain-containing protein, putative",[],['PFL0623c'],['Q8054']
http://www.wikidata.org/entity/Q18972724,,"PH domain-containing protein, putative",[],['MAL13P1.306'],['Q8054']
http://www.wikidata.org/entity/Q18972821,,"conserved Plasmodium membrane protein, unknown function",[],['PF14_0253'],['Q8054']
http://www.wikidata.org/entity/Q18973038,,"PITH domain-containing protein, putative",[],[],['Q8054']
http://www.wikidata.org/entity/Q18973072,,"ER lumen protein retaining receptor 1, putative",[],['MAL13P1.163'],['Q8054']
http://www.wikidata.org/entity/Q18973467,,"ataxin-2 like protein, putative",[],['PF14_0338'],['Q8054']
http://www.wikidata.org/entity/Q18973813,,adenylyl cyclase alpha,[],['PF14_0788'],['Q8054']
http://www.wikidata.org/entity/Q18974812,,"SNARE protein, putative",[],['MAL13P1.16'],['Q8054']
http://www.wikidata.org/entity/Q18974850,,"CorA-like Mg2+ transporter protein, putative",[],['MAL13P1.23'],['Q8054']
http://www.wikidata.org/entity/Q18974879,,"AP2 domain transcription factor, putative",[],['PF13_0026'],['Q8054']
http://www.wikidata.org/entity/Q190016,ヘパリン,heparin,"['C12H19NO20S3', 'カルシパリン', 'ヘパリン酸', 'リクアエミン', 'パナヘプリン', 'ヘパリン・ナトリウム']","['Calciparine', 'Heparinic acid', 'Liquaemin', 'Heparinate', 'Hep-lock', 'Panheprin', 'Sodium heparin', 'heparin sodium']","['Q35456', 'Q17339814', 'Q12140']"
http://www.wikidata.org/entity/Q190265,ペプシン,pepsin,"['ペプシノーゲン', 'ペプシノゲン']",[],['Q67015883']
http://www.wikidata.org/entity/Q1903925,テネイシン,tenascin,['テナシン'],['Tenascin'],['Q417841']
http://www.wikidata.org/entity/Q19039706,,"mitochondrial carrier protein, putative",[],['PFA0415c'],['Q8054']
http://www.wikidata.org/entity/Q19043113,,ADP-ribosylation factor GTPase-activating protein 2,[],['PFE1305c'],['Q8054']
http://www.wikidata.org/entity/Q19043338,,"eukaryotic translation initiation factor 3 subunit K, putative",[],[],['Q8054']
http://www.wikidata.org/entity/Q19043437,,"conserved Plasmodium protein, unknown function",[],['PFE1465w'],['Q8054']
http://www.wikidata.org/entity/Q19043614,,"conserved Plasmodium protein, unknown function",[],['PFC0571c'],['Q8054']
http://www.wikidata.org/entity/Q19043657,,"vesicle transport v-SNARE protein, putative",[],['PFC0582c'],['Q8054']
http://www.wikidata.org/entity/Q19043827,,"RNA-binding protein, putative",[],['PFB0255w'],['Q8054']
http://www.wikidata.org/entity/Q19043920,,merozoite surface protein 5,[],['PFB0305c'],['Q8054']
http://www.wikidata.org/entity/Q19044017,,"conserved Plasmodium protein, unknown function",[],"['PF02_0077', 'PFB0365w']",['Q8054']
http://www.wikidata.org/entity/Q19044062,,"SHS2 domain-containing protein, putative",[],"['PF02_0083', 'PFB0391c']",['Q8054']
http://www.wikidata.org/entity/Q19044161,,"60S ribosomal protein L37ae, putative",[],"['PFB0455w', 'PF02_0095']",['Q8054']
http://www.wikidata.org/entity/Q19048321,,rifin,[],"['PFD0070c', 'PIR protein']",['Q8054']
http://www.wikidata.org/entity/Q19049584,,"autophagy-related protein 11, putative",[],[],['Q8054']
http://www.wikidata.org/entity/Q19051652,,"ribosome associated membrane protein RAMP4, putative",[],"['PF02_0181', 'PFB0888w']",['Q8054']
http://www.wikidata.org/entity/Q19059563,,recombinant human parathyroid hormone,[],"['Natpara', 'PTH']",['Q12140']
http://www.wikidata.org/entity/Q19059632,リボヌクレアーゼT,Ribonuclease T,[],[],[]
http://www.wikidata.org/entity/Q1908996,基質タンパク質,viral matrix protein,[],"['Matrix', 'IPR000982', 'viral matrix proteins']",['Q417841']
http://www.wikidata.org/entity/Q191978,デキストリン,dextrin,['糊精'],"['dextrins', 'dextrine']",['Q47154513']
http://www.wikidata.org/entity/Q1924179,クローニングベクター,Cloning vector,[],[],[]
http://www.wikidata.org/entity/Q1929545,,human neutrophil protein,[],[],[]
http://www.wikidata.org/entity/Q1929845,NPHインスリン,NPH insulin,['ヒトイソフェンインスリン'],"['Insulin, isophane', 'Isophane Insulin', 'NPH Insulin', 'NPH Iletin', 'NPH']",['Q113145171']
http://www.wikidata.org/entity/Q19366418,,robin,[],[],['Q8054']
http://www.wikidata.org/entity/Q1938096,寝具(動物),bedding,"['動物の寝具', '敷料']",['bedding (animals)'],[]
http://www.wikidata.org/entity/Q19388602,,shoddy,[],['shoddy wool'],['Q161']
http://www.wikidata.org/entity/Q1939716,,Ornithine translocase,[],['Mitochondrial ornithine transporter'],['Q67101749']
http://www.wikidata.org/entity/Q1943709,甲状腺自己抗体,anti-thyroid autoantibodies,[],"['Thyroid autoantibody', 'anti-thyroid autoantibody']",[]
http://www.wikidata.org/entity/Q1944957,モノボディ,Monobody,[],[],[]
http://www.wikidata.org/entity/Q194908,インターロイキン,interleukins,[],['interleukin'],['Q84467700']
http://www.wikidata.org/entity/Q1950808,shRNA,Small hairpin RNA,[],['Short hairpin RNA'],[]
http://www.wikidata.org/entity/Q1953641,,Braun's lipoprotein,[],"['murein lipoprotein', 'Murein-lipoprotein', 'IPR016367', 'BLP']",['Q417841']
http://www.wikidata.org/entity/Q1956701,ミオシン軽鎖ホスファターゼ,(myosin-light-chain) phosphatase,[],"['myosin light chain kinase phosphatase', 'myosin-light-chain-phosphate phosphohydrolase']",['Q67015883']
http://www.wikidata.org/entity/Q1957771,マグヌス塩,Magnus' green salt,['マグナス塩'],[],['Q113145171']
http://www.wikidata.org/entity/Q19597287,,GFRα,[],['GDNF family receptor-α'],[]
http://www.wikidata.org/entity/Q19597529,,Human anti-chimeric antibody,[],[],[]
http://www.wikidata.org/entity/Q19597575,IKチャネル,IK channel,[],"['intermediate-conductance calcium-activated potassium channel', 'intermediate conductance calcium activated potassium channel', 'IK potassium channel', 'Intermediate-Conductance Calcium-Activated Potassium Channels']",['Q67101749']
http://www.wikidata.org/entity/Q19598176,,OmcS oxidoreductase,[],"['Geobacter Nanowire', 'G-NET']","['Q67101749', 'Q78155096']"
http://www.wikidata.org/entity/Q1959838,,Spectralon,[],[],[]
http://www.wikidata.org/entity/Q19709937,,somatropin recombinant,[],"['GH-N', 'Somatropin', 'Growth hormone', 'GH', 'Pituitary growth hormone', 'Somatotropin precursor', 'Growth hormone 1']",['Q113145171']
http://www.wikidata.org/entity/Q1971727,,natural cytotoxicity receptor,[],"['NCTR', 'natural cytotoxicity triggering receptors', 'Receptors, Natural Cytotoxicity Triggering', 'natural cytotoxicity triggering receptor']",['Q84467700']
